loan_amnt,term,int_rate,installment,grade,sub_grade,emp_length,home_ownership,annual_inc,verification_status,loan_status,purpose,dti,delinq_2yrs,fico_range_low,fico_range_high,inq_last_6mths,mths_since_last_delinq,recoveries,collection_recovery_fee
10625,60,0.18620001,273.41,D,D1,10+ years,RENT,75000,Source Verified,Current,credit_card,18.38,1,685,689,0,16,0,0
40000,60,0.107200004,864.13,B,B2,10+ years,MORTGAGE,93000,Source Verified,Fully Paid,home_improvement,10.68,0,775,779,0,-1,0,0
11000,36,0.16459998,389.24,C,C5,10+ years,RENT,58000,Verified,Current,major_purchase,2.07,0,675,679,1,35,0,0
10000,36,0.0992,322.3,B,B2,10+ years,MORTGAGE,80000,Not Verified,Fully Paid,debt_consolidation,8.36,0,740,744,1,-1,0,0
16000,60,0.06,357.65,E,E4,4 years,MORTGAGE,60000,Source Verified,Current,debt_consolidation,19.1,0,685,689,1,-1,0,0
5000,36,0.0881,158.56,A,A5,10+ years,RENT,170000,Source Verified,Current,debt_consolidation,11.71,0,800,804,0,-1,0,0
24000,60,0.1299,545.96,C,C1,10+ years,RENT,69000,Verified,Fully Paid,major_purchase,13.43,0,760,764,2,-1,0,0
16000,36,0.1367,544.29,B,B5,7 years,MORTGAGE,85000,Not Verified,Fully Paid,debt_consolidation,10.33,0,730,734,2,-1,0,0
9975,36,0.19520001,368.28,E,E2,< 1 year,RENT,42000,Verified,Fully Paid,debt_consolidation,13.77,0,685,689,0,-1,0,0
26400,60,0.1524,631.39,C,C2,3 years,MORTGAGE,100000,Source Verified,Current,debt_consolidation,20.45,0,725,729,1,-1,0,0
7000,36,0.0756,217.94,A,A3,10+ years,RENT,40000,Verified,Fully Paid,debt_consolidation,18.49,0,785,789,0,-1,0,0
32000,60,0.1269,723.04,C,C2,4 years,MORTGAGE,100000,Source Verified,Fully Paid,credit_card,9.43,0,760,764,0,-1,0,0
10000,36,0.0699,308.73,A,A2,4 years,RENT,92000,Not Verified,Fully Paid,debt_consolidation,20,0,730,734,0,34,0,0
7000,36,0.0881,221.98,A,A5,10+ years,RENT,35000,Not Verified,Current,debt_consolidation,13.61,0,665,669,1,-1,0,0
21275,36,0.1612,749.23,C,C3,1 year,MORTGAGE,105000,Not Verified,Current,debt_consolidation,28.93,1,705,709,0,20,0,0
10000,60,0.1408,233.1,C,C3,10+ years,MORTGAGE,78736,Not Verified,Current,debt_consolidation,16,0,695,699,0,-1,0,0
10000,36,0.0999,322.63,B,B3,6 years,RENT,57000,Source Verified,Charged Off,debt_consolidation,19.85,0,660,664,1,65,661.13,119.0034
20000,60,0.1903,519.15,D,D3,< 1 year,MORTGAGE,50000,Not Verified,Fully Paid,debt_consolidation,26.26,0,665,669,0,-1,0,0
30000,60,0.1499,713.55,C,C5,3 years,MORTGAGE,85000,Verified,Fully Paid,credit_card,17.73,0,705,709,0,73,0,0
6800,36,0.17989999,245.81,D,D2,6 years,RENT,50000,Source Verified,Fully Paid,debt_consolidation,4.3,0,715,719,1,-1,0,0
24000,60,0.1306,546.82,C,C1,10+ years,MORTGAGE,70000,Verified,Current,debt_consolidation,26.04,0,695,699,0,36,0,0
10000,60,0.1171,220.99,B,B3,5 years,MORTGAGE,85000,Source Verified,Current,credit_card,22.29,0,715,719,1,-1,0,0
6600,36,0.1399,225.55,C,C3,10+ years,MORTGAGE,90000,Verified,Fully Paid,other,18.48,0,660,664,1,-1,0,0
6000,36,0.2,222.99,D,D4,3 years,MORTGAGE,49000,Not Verified,Fully Paid,home_improvement,12.71,2,670,674,1,21,0,0
35000,36,0.1464,1207.13,C,C3,3 years,MORTGAGE,248000,Verified,Charged Off,credit_card,10.4,0,710,714,0,-1,374.26,67.3668
3000,36,0.1499,103.99,C,C4,9 years,MORTGAGE,40000,Verified,Fully Paid,other,6.03,0,750,754,1,-1,0,0
10500,36,0.1919,385.9,E,E3,1 year,MORTGAGE,45000,Verified,Fully Paid,debt_consolidation,18.68,0,660,664,3,33,0,0
4000,36,0.124,133.63,B,B4,4 years,MORTGAGE,144000,Source Verified,Current,other,37.28,0,680,684,0,-1,0,0
4800,36,0.21180001,181.29,E,E3,10+ years,MORTGAGE,121000,Not Verified,Fully Paid,home_improvement,36.65,2,660,664,0,8,0,0
15000,36,0.0624,457.97,A,A2,10+ years,MORTGAGE,90000,Not Verified,Fully Paid,debt_consolidation,15.41,0,715,719,0,44,0,0
24000,36,0.1279,806.23,C,C1,1 year,MORTGAGE,80000,Not Verified,Fully Paid,debt_consolidation,22.17,0,690,694,1,59,0,0
15000,36,0.061100002,457.08,A,A1,10+ years,MORTGAGE,125000,Not Verified,Current,credit_card,11.18,0,685,689,0,-1,0,0
25200,60,0.1524,602.69,C,C2,2 years,RENT,140000,Not Verified,Current,debt_consolidation,11.79,0,730,734,1,-1,0,0
8000,36,0.14029999,273.54,C,C2,5 years,MORTGAGE,59268,Not Verified,Current,debt_consolidation,22.6,0,685,689,1,54,0,0
14400,36,0.119899996,478.22,B,B5,10+ years,RENT,37000,Source Verified,Current,debt_consolidation,8.76,0,730,734,1,-1,0,0
7300,36,0.1825,264.83,D,D3,6 years,OWN,59000,Verified,Fully Paid,debt_consolidation,20.81,0,675,679,2,-1,0,0
17975,36,0.1714,642.12,D,D4,10+ years,RENT,51000,Verified,Charged Off,debt_consolidation,28.92,0,665,669,0,-1,1928.26,347.0868
12000,60,0.1333,275.07,C,C3,10+ years,MORTGAGE,60000,Not Verified,Fully Paid,debt_consolidation,14.02,0,700,704,0,-1,0,0
10000,60,0.1447,235.13,C,C2,,RENT,42000,Not Verified,Fully Paid,debt_consolidation,16.94,0,710,714,1,33,0,0
24000,36,0.069699995,740.73,A,A3,1 year,RENT,55000,Not Verified,Charged Off,debt_consolidation,25.63,0,770,774,0,-1,2044.86,368.0748
